[BOUNCE] ball1 f24 dist=246.6 seg=159 gap=0 pen=0.6 vel=(-5.4,4.2) nx=-0.94 ny=0.35
sketch.js:200 [NaN-UPDATE] ball1 f51 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f51 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f52 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f52 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f52 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f53 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f53 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f53 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f54 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f54 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f54 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f55 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f55 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f55 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f56 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f56 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f56 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f57 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f57 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f57 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f58 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f58 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f58 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f59 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f59 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f59 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
sketch.js:200 [NaN-UPDATE] ball0 f60 pos=(NaN,NaN) vel=(-6.791293442040036,0.9059370677051234)
sketch.js:200 [NaN-UPDATE] ball1 f60 pos=(NaN,NaN) vel=(6.371433325268001,-0.21455315762819804)
sketch.js:200 [NaN-UPDATE] ball2 f60 pos=(NaN,NaN) vel=(-8.348443037046621,-1.8643310316463975)
